date,model_decile_top,count_top,avg_model_score_top,avg_stock_return_14d_top,median_stock_return_14d_top,avg_excess_vs_spy_14d_top,median_excess_vs_spy_14d_top,avg_sector_neutral_return_14d_after_cost_top,median_sector_neutral_return_14d_after_cost_top,winsorized_sector_neutral_return_14d_after_cost_top,hit_rate_vs_spy_top,hit_rate_sector_neutral_after_cost_top,top5_positive_contribution_share_top,model_decile_bottom,count_bottom,avg_model_score_bottom,avg_stock_return_14d_bottom,median_stock_return_14d_bottom,avg_excess_vs_spy_14d_bottom,median_excess_vs_spy_14d_bottom,avg_sector_neutral_return_14d_after_cost_bottom,median_sector_neutral_return_14d_after_cost_bottom,winsorized_sector_neutral_return_14d_after_cost_bottom,hit_rate_vs_spy_bottom,hit_rate_sector_neutral_after_cost_bottom,top5_positive_contribution_share_bottom,top_minus_bottom_sector_neutral_14d,top_minus_bottom_median_sector_neutral_14d,top_minus_bottom_excess_vs_spy_14d
2026-02-09,10,50,0.12832708656787872,0.00991862844884339,-0.0035837682391174353,0.026953136680435197,0.01345073999247437,0.024865571948254703,-0.0059248852033021975,0.0235835115418392,0.52,0.46,0.41653391457107336,1,51,-0.23396237194538116,0.011444275517837287,0.0070710061147869485,0.028478783749429092,0.024105514346378754,0.0012888030354581458,0.004075860653029397,-0.0006696673878383216,0.6862745098039216,0.5098039215686274,0.5118942836870125,0.02357676891279656,-0.010000745856331594,-0.0015256470689938954
2026-02-10,10,50,0.13215550780296326,0.04078510509040199,0.015092591064314376,0.05065571055310578,0.024963196527018172,0.04693052162855029,0.008294079655523813,0.04319993037506308,0.58,0.52,0.4747931500246309,1,51,-0.23396237194538116,0.014647151900071001,0.010199140547436647,0.0245177573627748,0.020069746010140443,0.0013737445232593402,0.0015667310881420384,0.0014020298159594718,0.6078431372549019,0.5490196078431373,0.4903895733760389,0.04555677710529095,0.0067273485673817746,0.026137953190330982
2026-02-11,10,50,0.13006633520126343,0.06121763414074037,0.024002637614985334,0.06115897193371904,0.023943975407964002,0.05765176486798447,0.02189709455188016,0.05555967543627359,0.62,0.64,0.4467958157327773,1,51,-0.23396237194538116,0.006573586487291996,0.02189279576330705,0.006514924280270664,0.021834133556285718,0.0034543744146013247,-0.003012020125508773,0.004066682932866295,0.5882352941176471,0.47058823529411764,0.4957929746916906,0.05419739045338315,0.024909114677388933,0.05464404765344837
2026-02-12,10,50,0.1315341740846634,0.016440358625158785,-0.023646281631985233,0.030184403396092838,-0.009902236861051184,0.031952757150859386,0.006914356960847414,0.030401486824114154,0.46,0.54,0.45197309017679543,1,51,-0.23396237194538116,-0.01677395778175448,-0.01212570241463451,-0.0030299130108204313,0.0016183423562995403,-0.0020281001411507514,0.0014412368367338626,-0.0013737793584541148,0.5098039215686274,0.5098039215686274,0.5453859803212397,0.033980857292010135,0.005473120124113551,0.03321431640691327
2026-02-13,10,50,0.1257840394973755,0.03126737154503378,0.008607724939264538,0.037974434328709054,0.015314787722939815,0.04003809416046258,0.02246407459795774,0.038925145011837005,0.56,0.56,0.45181264067407084,1,51,-0.23396237194538116,-0.013650898130616854,-0.015991848707913703,-0.006943835346941578,-0.009284785924238426,0.00223566963622061,-0.0004407734916728732,0.0015076598306100078,0.43137254901960786,0.47058823529411764,0.5382057347295833,0.03780242452424197,0.022904848089630614,0.04491826967565063
2026-02-17,10,51,0.131374329328537,0.004260447052188386,-0.01358141048934114,0.017534743481570986,-0.00030711405995853536,0.02051382439691558,0.014450535404032018,0.020187543646595262,0.49019607843137253,0.5490196078431373,0.40486254599202404,1,51,-0.23396237194538116,-0.014737910682948923,-0.00737764136550878,-0.0014636142535663192,0.0058966550638738235,0.0009423284885664171,0.0008180430384870387,-0.00027370295694970016,0.5294117647058824,0.5098039215686274,0.42979287880394285,0.019571495908349164,0.01363249236554498,0.018998357735137306
2026-02-18,10,51,0.12671557068824768,0.0016968052737412666,0.007179066474510609,0.013603572598706917,0.01908583379947626,0.016993730668017158,0.018913939368099764,0.01511101051571298,0.6078431372549019,0.5686274509803921,0.4129920589513105,1,51,-0.23396237194538116,-0.024429919766001743,-0.01654672473538943,-0.012523152441036096,-0.004639957410423778,-0.0029545784365704528,0.0019409131641703894,-0.00264236930317259,0.45098039215686275,0.5294117647058824,0.4007325758098176,0.01994830910458761,0.016973026203929376,0.02612672503974301
2026-02-19,10,51,0.1276279091835022,-0.03300571068316424,-0.03722808620218454,0.0008919233480533512,-0.0033304521709669466,0.0022506406328810526,-0.0018154391672309798,0.003981516908666954,0.49019607843137253,0.47058823529411764,0.4486117905770734,1,51,-0.23396237194538116,-0.03961406800355055,-0.03769995035567264,-0.005716433972332962,-0.003802316324455046,-0.0010279597351350693,0.000594983182137744,-0.0007655604395176397,0.45098039215686275,0.5098039215686274,0.45665389504276593,0.003278600368016122,-0.002410422349368724,0.006608357320386313
2026-02-20,10,51,0.12611083686351776,-0.012564255031719158,-0.02462937401199361,0.016891087239031596,0.004825968258757141,0.014573238934682639,-0.0054106169525858765,0.015337623113756017,0.5294117647058824,0.49019607843137253,0.4832353183556113,1,51,-0.23396237194538116,-0.03990065193509148,-0.03911578100715096,-0.010445309664340732,-0.009660438736400212,-0.006439117855481489,-0.008366647268415904,-0.005847469761838262,0.45098039215686275,0.45098039215686275,0.4757583444493448,0.021012356790164128,0.002956030315830027,0.027336396903372327
2026-02-23,10,51,0.12193833291530609,-0.012645219437360716,-0.021272172339460993,0.0140077468956126,0.005380793993512323,0.014644937492618483,0.0016691647021485636,0.014494345228804426,0.5294117647058824,0.5490196078431373,0.4409073953335734,1,51,-0.23396237194538116,-0.038872090513804275,-0.035990699854844155,-0.012219124180830963,-0.009337733521870839,-0.005623983077706288,-0.005641614786643654,-0.004892954382662918,0.43137254901960786,0.47058823529411764,0.45686394007209147,0.02026892057032477,0.007310779488792218,0.026226871076443562
2026-02-24,10,51,0.11910475045442581,-0.02260536774815675,-0.026163992354941157,0.009653294896956485,0.006094670290172077,0.00955515207661138,0.014421391284288045,0.010718840324786262,0.5294117647058824,0.5294117647058824,0.4298420518992387,1,51,-0.23396237194538116,-0.03258094221829108,-0.03651608311112009,-0.0003222795731778488,-0.004257420466006856,-0.0004833843217139731,0.004089863402272078,0.0007858731608615345,0.45098039215686275,0.5294117647058824,0.5275140862993178,0.010038536398325353,0.010331527882015967,0.009975574470134333
2026-02-25,10,51,0.11577799171209335,-0.03398126382590092,-0.021214223688089784,0.006451022052871644,0.019218062190682783,0.008507557973528871,0.010670738046956453,0.008658239083485557,0.6274509803921569,0.5490196078431373,0.4180880751285053,1,51,-0.23396237194538116,-0.04683818206119848,-0.05400181298344431,-0.006405896182425917,-0.013569527104671741,-0.0018636545310377454,-0.0007844372799389863,-0.002627032158136518,0.4117647058823529,0.49019607843137253,0.488923821318472,0.010371212504566617,0.01145517532689544,0.012856918235297561
2026-02-26,10,51,0.11895754933357239,-0.03092276481864479,-0.03780143142591974,0.0072556097562036185,0.00037694314892866565,0.010488816116435387,0.013302124356150137,0.012741751188708635,0.5098039215686274,0.5882352941176471,0.4467759486617493,1,51,-0.23396237194538116,-0.06110044317995186,-0.052333487748014273,-0.022922068605103464,-0.014155113173165867,-0.0051624979014111,-0.005301534565088027,-0.004596646340573683,0.35294117647058826,0.4117647058823529,0.5070381731217134,0.015651314017846488,0.018603658921238164,0.03017767836130708
2026-02-27,10,51,0.12467414140701294,-0.06410405301633931,-0.053357881123994644,-0.01159849395457374,-0.0008523220622290717,-0.009301830682741197,-0.006738404582313949,-0.005459166770131831,0.49019607843137253,0.45098039215686275,0.45690202891780896,1,51,-0.23396237194538116,-0.07329887963126291,-0.06511258294745004,-0.02079332056949734,-0.012607023885684465,-0.0003574386879977064,0.000611356372258677,-0.0005468709397034696,0.2549019607843137,0.5294117647058824,0.4065271998324535,-0.008944391994743492,-0.007349760954572626,0.0091948266149236
2026-03-02,10,51,0.12755447626113892,-0.018024624286614256,-0.036144099427319776,0.016017949193511814,-0.0021015259471937053,0.015194979515946404,0.003933568634814035,0.017977597724683114,0.47058823529411764,0.5098039215686274,0.4043528970472232,1,51,-0.23396237194538116,-0.05566382606632786,-0.05052176393938301,-0.02162125258620179,-0.016479190459256943,-0.0012144882568077314,0.00035254665889300615,-0.0015015734553912791,0.21568627450980393,0.5098039215686274,0.4807052429943317,0.016409467772754135,0.0035810219759210287,0.0376392017797136
2026-03-03,10,51,0.13544689118862152,-0.03225371625482483,-0.0483462769610663,0.011776095626746233,-0.004316465079495235,0.010624172440835552,0.005567960632170634,0.012939405918386663,0.49019607843137253,0.5490196078431373,0.446467932169258,1,51,-0.23396237194538116,-0.06328233371812397,-0.058402149809294035,-0.0192525218365529,-0.014372337927722967,-0.00432601487358351,0.0013144965276587497,-0.0036115773159280133,0.39215686274509803,0.5490196078431373,0.3915278886657593,0.01495018731441906,0.004253464104511884,0.031028617463299137
