date,model_decile,count,avg_model_score,avg_stock_return_14d,median_stock_return_14d,avg_excess_vs_spy_14d,median_excess_vs_spy_14d,avg_sector_neutral_return_14d_after_cost,median_sector_neutral_return_14d_after_cost,winsorized_sector_neutral_return_14d_after_cost,hit_rate_vs_spy,hit_rate_sector_neutral_after_cost,top5_positive_contribution_share
2026-04-16,4,50,-0.23396238684654236,-0.019143419680173045,-0.01846027920719684,-0.04933465239365471,-0.048651511920678514,-0.016645187046002957,-0.013761382114109598,-0.017813299461789854,0.2,0.4,0.5500683221595843
2026-04-16,5,50,-0.2230181246995926,-0.022791901629240875,-0.024269368196350893,-0.052983134342722546,-0.05446060090983257,-0.02207915918630518,-0.021493358480485336,-0.02228973014487125,0.16,0.32,0.7525981771139817
2026-04-16,6,50,-0.2045438140630722,0.01447482471727189,0.0031942839496005293,-0.015716407996209783,-0.026996948763881146,0.006784384584496495,-0.007798727038428986,0.0051211163312289195,0.32,0.46,0.5140769772049405
2026-04-16,7,50,-0.19500651955604553,-0.00273672730924428,-0.00499457358615768,-0.03292796002272595,-0.035185806299639355,-0.02385498180297179,-0.032327720870931664,-0.02311430932579218,0.38,0.36,0.6323975732548669
2026-04-16,8,50,-0.1703696846961975,-0.02108058353685651,-0.02527835185213484,-0.051271816250338186,-0.055469584565616514,-0.04519552855360871,-0.055288948888967016,-0.04510679200100199,0.3,0.3,0.5403585574549389
2026-04-16,9,50,-0.03053312748670578,-0.004808765360135918,-0.02125059058264167,-0.034999998073617596,-0.051441823296123346,-0.032329492276402874,-0.03322590642929746,-0.03377279608196957,0.3,0.3,0.7126929050750372
2026-04-16,10,51,0.1126849576830864,0.08478228009584722,0.04541069227960293,0.05459104738236555,0.015219459566121252,0.05056117534212706,0.008739483707936703,0.04722580331943237,0.5490196078431373,0.5098039215686274,0.46437262248490785
2026-04-17,1,51,-0.23396237194538116,-0.02754128969601988,-0.028859709242856857,-0.0683190659810462,-0.06963748552788318,-0.016933450401391447,-0.009623738202109764,-0.01448344148306945,0.13725490196078433,0.35294117647058826,0.5302273145185664
2026-04-17,2,50,-0.23396238684654236,-0.016721990114760193,-0.023521469671183015,-0.05749976639978652,-0.06429924595620934,-0.008631599157175214,-0.006845882344562236,-0.010599455565972749,0.16,0.38,0.6256228920024454
2026-04-17,3,50,-0.23396238684654236,-0.00802989122064147,-0.023834277140197813,-0.0488076675056678,-0.06461205342522414,-0.007943215303537397,-0.002244185515135054,-0.010934213173392692,0.12,0.46,0.7249051577299788
2026-04-17,4,50,-0.23375749588012695,-0.02384346810975628,-0.016752364540605913,-0.0646212443947826,-0.05753014082563224,-0.017897776270979892,-0.012738300361328503,-0.018449569496474853,0.14,0.38,0.5797586402931609
2026-04-17,5,50,-0.22332553565502167,-0.022222969614855162,-0.02930204351646093,-0.06300074589988149,-0.07007981980148725,-0.018664630037057463,-0.01944005759359807,-0.019285314337181718,0.16,0.34,0.6300874691955867
2026-04-17,6,50,-0.2041311413049698,0.010375306895503738,-0.00722112291583471,-0.030402469389522582,-0.047998899200861034,-0.0007397742389969997,-0.014249397057296886,-0.0031146865439499955,0.36,0.46,0.4345659485191033
2026-04-17,7,50,-0.19528649747371674,-0.008672149491612734,-0.022539528261946107,-0.049449925776639064,-0.06331730454697243,-0.03104113768923298,-0.03134075461491337,-0.030392596143550225,0.36,0.34,0.5550390276914128
2026-04-17,8,50,-0.17237788438796997,-0.018516719954423413,-0.02182272386929268,-0.05929449623944975,-0.062600500154319,-0.05308980028875821,-0.057898914066657314,-0.05435258017769752,0.3,0.32,0.5778496021734932
2026-04-17,9,50,-0.03257472813129425,-0.001190447822410965,-0.025918674393141217,-0.04196822410743729,-0.06669645067816754,-0.04222318819250113,-0.04465804724830841,-0.05085676780431499,0.26,0.26,0.8408057125813773
2026-04-17,10,51,0.10932380706071854,0.10024298839906674,0.012992273547198785,0.05946521211404041,-0.02778550273782754,0.05676879731524715,-0.006744401407092258,0.05025995395053968,0.43137254901960786,0.49019607843137253,0.5245447412539465
2026-04-20,1,51,-0.23396237194538116,-0.017170505899466657,-0.006127131807794339,-0.06719318776551206,-0.056149813673839755,-0.021323259467631073,-0.013000635568592487,-0.018842735095880764,0.13725490196078433,0.39215686274509803,0.562689476978719
2026-04-20,2,50,-0.23396238684654236,-0.012042144411122939,-0.012835418202548743,-0.06206482627716836,-0.06285810006859416,-0.014456932536773675,-0.014730200908103674,-0.016541475483009344,0.14,0.36,0.6819264418485902
2026-04-20,3,50,-0.23396238684654236,0.008855915437624182,-0.01393159918409248,-0.04116676642842123,-0.0639542810501379,-0.003255052086691097,-0.012887217035962571,-0.012663361850374345,0.18,0.4,0.6891392416422438
2026-04-20,4,50,-0.23362091183662415,-0.018518160353524857,-0.01000037545011112,-0.06854084221957028,-0.060023057316156536,-0.02782922780844394,-0.02333185030213175,-0.027166756456814226,0.1,0.38,0.6048015302313818
2026-04-20,5,50,-0.22312325239181519,-0.030222593387246616,-0.0376601077372436,-0.08024527525329203,-0.08768278960328901,-0.034447430067666915,-0.03224691600749657,-0.03423009674224356,0.14,0.24,0.7448051762394102
2026-04-20,6,50,-0.20431643724441528,0.014464198678955608,0.00866608472145558,-0.035558483187089804,-0.041356597144589835,-0.009634548551431877,-0.02249519057482502,-0.011448927682077606,0.32,0.44,0.5278645134994066
2026-04-20,7,50,-0.1950962245464325,-0.004447946008903603,0.00758370274357012,-0.054470627874949,-0.042438979122475295,-0.03748873675838019,-0.04137973368067743,-0.033135400821535654,0.38,0.4,0.5303592916209423
2026-04-20,8,50,-0.1751747578382492,-0.037014395771805424,-0.055514745011611855,-0.08703707763785083,-0.10553742687765727,-0.08431175525976409,-0.0947148061747074,-0.08560206052393703,0.26,0.24,0.6933712780348259
2026-04-20,9,50,-0.03448395058512688,0.004293708459511887,-0.026756053078931197,-0.04572897340653353,-0.07677873494497661,-0.05200669237519027,-0.04486442617661773,-0.05848772472098058,0.26,0.24,0.8081370557470904
2026-04-20,10,51,0.1075892373919487,0.11944474981910877,0.03980310762870731,0.06942206795306335,-0.010219574237338103,0.06628328140836504,0.011894813824665786,0.05800302951643183,0.47058823529411764,0.5294117647058824,0.5119097927942101
2026-04-21,1,51,-0.23396237194538116,-0.006769794826272837,-0.0030541261873539005,-0.04469104153244198,-0.04097537289352304,-0.015469737047811035,-0.010068835393453988,-0.012781388382562455,0.23529411764705882,0.45098039215686275,0.4788862786781008
2026-04-21,2,50,-0.23396238684654236,0.0018257907150601449,0.0012630033346427982,-0.03609545599110899,-0.036658243371526344,-0.007412366388421881,-0.01096594740779999,-0.010059043360407105,0.22,0.42,0.6087962283323995
2026-04-21,3,50,-0.23396238684654236,0.00800705225690191,-0.009110837187388754,-0.029914194449267236,-0.0470320838935579,-0.006515400806386233,-0.015273589785215314,-0.013066400090241967,0.24,0.36,0.6480919345270428
2026-04-21,4,50,-0.23382580280303955,-0.006499631707114572,-0.004366877646322154,-0.044420878413283724,-0.042288124352491296,-0.016974112194679064,-0.010660566939907577,-0.014785472542452927,0.22,0.4,0.5090788116334974
2026-04-21,5,50,-0.22360768914222717,-0.023365402651948416,-0.029767960520994063,-0.06128664935811755,-0.0676892072271632,-0.030966100691322048,-0.03314040352306247,-0.030142896910860334,0.1,0.22,0.8491541040052759
2026-04-21,6,50,-0.20431143045425415,0.005677011818621429,0.010786320482391698,-0.03224423488754771,-0.027134926223777445,-0.01482647317782524,-0.014820611832368269,-0.01587694547546455,0.36,0.42,0.5086795623432961
2026-04-21,7,50,-0.19530126452445984,-0.00946176288270422,-0.027837549342449586,-0.047383009588873364,-0.06575879604861873,-0.03505834270067353,-0.03914377406714992,-0.027532539407951348,0.36,0.3,0.5707171294353225
2026-04-21,8,50,-0.17802828550338745,-0.03600072451053632,-0.05856560246585568,-0.07392197121670545,-0.09648684917202482,-0.07155147463701307,-0.07521685837639436,-0.07472873049385059,0.3,0.22,0.7379980724278961
2026-04-21,9,50,-0.033616334199905396,-0.012596701916196435,-0.027405072834520705,-0.050517948622365576,-0.06532631954068985,-0.056098670975148576,-0.04776583055004019,-0.060772845063747374,0.22,0.28,0.8295262628494153
2026-04-21,10,51,0.1077180951833725,0.09693092050656142,0.04503322750678351,0.05900967380039229,0.00711198080061437,0.05619135508786505,0.013985396924571404,0.04941872685169899,0.5098039215686274,0.5882352941176471,0.5108721031565028
